C,gamma,CV_acc
0.03125,3.0517578125e-05,0.502
0.03125,0.0001220703125,0.502
0.03125,0.00048828125,0.502
0.03125,0.001953125,0.502
0.03125,0.0078125,0.502
0.03125,0.03125,0.502
0.03125,0.125,0.502
0.03125,0.5,0.502
0.03125,2.0,0.502
0.03125,8.0,0.502
0.125,3.0517578125e-05,0.502
0.125,0.0001220703125,0.482
0.125,0.00048828125,0.472
0.125,0.001953125,0.45399999999999996
0.125,0.0078125,0.45
0.125,0.03125,0.496
0.125,0.125,0.5
0.125,0.5,0.502
0.125,2.0,0.502
0.125,8.0,0.502
0.5,3.0517578125e-05,0.51
0.5,0.0001220703125,0.504
0.5,0.00048828125,0.472
0.5,0.001953125,0.512
0.5,0.0078125,0.47
0.5,0.03125,0.486
0.5,0.125,0.504
0.5,0.5,0.53
0.5,2.0,0.534
0.5,8.0,0.502
2.0,3.0517578125e-05,0.484
2.0,0.0001220703125,0.444
2.0,0.00048828125,0.4759999999999999
2.0,0.001953125,0.51
2.0,0.0078125,0.49
2.0,0.03125,0.51
2.0,0.125,0.546
2.0,0.5,0.544
2.0,2.0,0.572
2.0,8.0,0.53
8.0,3.0517578125e-05,0.462
8.0,0.0001220703125,0.466
8.0,0.00048828125,0.45
8.0,0.001953125,0.4640000000000001
8.0,0.0078125,0.54
8.0,0.03125,0.636
8.0,0.125,0.574
8.0,0.5,0.578
8.0,2.0,0.55
8.0,8.0,0.538
32.0,3.0517578125e-05,0.45
32.0,0.0001220703125,0.5
32.0,0.00048828125,0.556
32.0,0.001953125,0.722
32.0,0.0078125,0.768
32.0,0.03125,0.762
32.0,0.125,0.686
32.0,0.5,0.618
32.0,2.0,0.548
32.0,8.0,0.544
128.0,3.0517578125e-05,0.544
128.0,0.0001220703125,0.742
128.0,0.00048828125,0.846
128.0,0.001953125,0.856
128.0,0.0078125,0.852
128.0,0.03125,0.8219999999999998
128.0,0.125,0.6560000000000001
128.0,0.5,0.572
128.0,2.0,0.564
128.0,8.0,0.554
512.0,3.0517578125e-05,0.878
512.0,0.0001220703125,0.9060000000000001
512.0,0.00048828125,0.92
512.0,0.001953125,0.924
512.0,0.0078125,0.8759999999999999
512.0,0.03125,0.816
512.0,0.125,0.686
512.0,0.5,0.582
512.0,2.0,0.586
512.0,8.0,0.554
2048.0,3.0517578125e-05,0.936
2048.0,0.0001220703125,0.956
2048.0,0.00048828125,0.946
2048.0,0.001953125,0.938
2048.0,0.0078125,0.898
2048.0,0.03125,0.806
2048.0,0.125,0.6460000000000001
2048.0,0.5,0.578
2048.0,2.0,0.568
2048.0,8.0,0.518
8192.0,3.0517578125e-05,0.958
8192.0,0.0001220703125,0.966
8192.0,0.00048828125,0.944
8192.0,0.001953125,0.944
8192.0,0.0078125,0.89
8192.0,0.03125,0.792
8192.0,0.125,0.67
8192.0,0.5,0.54
8192.0,2.0,0.528
8192.0,8.0,0.564
32768.0,3.0517578125e-05,0.976
32768.0,0.0001220703125,0.972
32768.0,0.00048828125,0.95
32768.0,0.001953125,0.948
32768.0,0.0078125,0.8859999999999999
32768.0,0.03125,0.828
32768.0,0.125,0.666
32768.0,0.5,0.57
32768.0,2.0,0.554
32768.0,8.0,0.556
