C,gamma,CV_acc
0.03125,3.0517578125e-05,0.502
0.03125,0.0001220703125,0.502
0.03125,0.00048828125,0.502
0.03125,0.001953125,0.502
0.03125,0.0078125,0.502
0.03125,0.03125,0.502
0.03125,0.125,0.502
0.03125,0.5,0.502
0.03125,2.0,0.502
0.03125,8.0,0.502
0.125,3.0517578125e-05,0.502
0.125,0.0001220703125,0.502
0.125,0.00048828125,0.502
0.125,0.001953125,0.502
0.125,0.0078125,0.502
0.125,0.03125,0.502
0.125,0.125,0.502
0.125,0.5,0.502
0.125,2.0,0.49
0.125,8.0,0.494
0.5,3.0517578125e-05,0.502
0.5,0.0001220703125,0.502
0.5,0.00048828125,0.502
0.5,0.001953125,0.502
0.5,0.0078125,0.502
0.5,0.03125,0.502
0.5,0.125,0.502
0.5,0.5,0.504
0.5,2.0,0.482
0.5,8.0,0.468
2.0,3.0517578125e-05,0.502
2.0,0.0001220703125,0.502
2.0,0.00048828125,0.502
2.0,0.001953125,0.502
2.0,0.0078125,0.502
2.0,0.03125,0.498
2.0,0.125,0.504
2.0,0.5,0.486
2.0,2.0,0.474
2.0,8.0,0.46
8.0,3.0517578125e-05,0.502
8.0,0.0001220703125,0.502
8.0,0.00048828125,0.502
8.0,0.001953125,0.502
8.0,0.0078125,0.5
8.0,0.03125,0.502
8.0,0.125,0.498
8.0,0.5,0.5
8.0,2.0,0.426
8.0,8.0,0.49200000000000005
32.0,3.0517578125e-05,0.502
32.0,0.0001220703125,0.502
32.0,0.00048828125,0.502
32.0,0.001953125,0.484
32.0,0.0078125,0.504
32.0,0.03125,0.512
32.0,0.125,0.494
32.0,0.5,0.458
32.0,2.0,0.48
32.0,8.0,0.546
128.0,3.0517578125e-05,0.502
128.0,0.0001220703125,0.502
128.0,0.00048828125,0.496
128.0,0.001953125,0.496
128.0,0.0078125,0.508
128.0,0.03125,0.51
128.0,0.125,0.506
128.0,0.5,0.5
128.0,2.0,0.61
128.0,8.0,0.796
512.0,3.0517578125e-05,0.502
512.0,0.0001220703125,0.494
512.0,0.00048828125,0.5
512.0,0.001953125,0.498
512.0,0.0078125,0.504
512.0,0.03125,0.508
512.0,0.125,0.514
512.0,0.5,0.764
512.0,2.0,0.914
512.0,8.0,0.916
2048.0,3.0517578125e-05,0.502
2048.0,0.0001220703125,0.496
2048.0,0.00048828125,0.494
2048.0,0.001953125,0.52
2048.0,0.0078125,0.498
2048.0,0.03125,0.51
2048.0,0.125,0.818
2048.0,0.5,0.96
2048.0,2.0,0.948
2048.0,8.0,0.954
8192.0,3.0517578125e-05,0.49200000000000005
8192.0,0.0001220703125,0.51
8192.0,0.00048828125,0.484
8192.0,0.001953125,0.49200000000000005
8192.0,0.0078125,0.514
8192.0,0.03125,0.848
8192.0,0.125,0.958
8192.0,0.5,0.956
8192.0,2.0,0.9739999999999999
8192.0,8.0,0.972
32768.0,3.0517578125e-05,0.496
32768.0,0.0001220703125,0.53
32768.0,0.00048828125,0.53
32768.0,0.001953125,0.56
32768.0,0.0078125,0.83
32768.0,0.03125,0.958
32768.0,0.125,0.964
32768.0,0.5,0.972
32768.0,2.0,0.98
32768.0,8.0,0.982
