C,gamma,CV_acc
0.03125,3.0517578125e-05,0.502
0.03125,0.0001220703125,0.502
0.03125,0.00048828125,0.502
0.03125,0.001953125,0.502
0.03125,0.0078125,0.502
0.03125,0.03125,0.502
0.03125,0.125,0.502
0.03125,0.5,0.502
0.03125,2.0,0.502
0.03125,8.0,0.502
0.125,3.0517578125e-05,0.502
0.125,0.0001220703125,0.502
0.125,0.00048828125,0.502
0.125,0.001953125,0.502
0.125,0.0078125,0.502
0.125,0.03125,0.502
0.125,0.125,0.48
0.125,0.5,0.508
0.125,2.0,0.49200000000000005
0.125,8.0,0.486
0.5,3.0517578125e-05,0.502
0.5,0.0001220703125,0.502
0.5,0.00048828125,0.502
0.5,0.001953125,0.502
0.5,0.0078125,0.502
0.5,0.03125,0.504
0.5,0.125,0.466
0.5,0.5,0.484
0.5,2.0,0.4759999999999999
0.5,8.0,0.506
2.0,3.0517578125e-05,0.502
2.0,0.0001220703125,0.502
2.0,0.00048828125,0.502
2.0,0.001953125,0.502
2.0,0.0078125,0.512
2.0,0.03125,0.458
2.0,0.125,0.49200000000000005
2.0,0.5,0.48
2.0,2.0,0.4759999999999999
2.0,8.0,0.49200000000000005
8.0,3.0517578125e-05,0.502
8.0,0.0001220703125,0.502
8.0,0.00048828125,0.504
8.0,0.001953125,0.49
8.0,0.0078125,0.506
8.0,0.03125,0.496
8.0,0.125,0.466
8.0,0.5,0.488
8.0,2.0,0.486
8.0,8.0,0.5
32.0,3.0517578125e-05,0.502
32.0,0.0001220703125,0.502
32.0,0.00048828125,0.502
32.0,0.001953125,0.504
32.0,0.0078125,0.45399999999999996
32.0,0.03125,0.478
32.0,0.125,0.494
32.0,0.5,0.502
32.0,2.0,0.634
32.0,8.0,0.7559999999999999
128.0,3.0517578125e-05,0.502
128.0,0.0001220703125,0.508
128.0,0.00048828125,0.49200000000000005
128.0,0.001953125,0.516
128.0,0.0078125,0.4759999999999999
128.0,0.03125,0.498
128.0,0.125,0.56
128.0,0.5,0.816
128.0,2.0,0.87
128.0,8.0,0.89
512.0,3.0517578125e-05,0.51
512.0,0.0001220703125,0.524
512.0,0.00048828125,0.51
512.0,0.001953125,0.516
512.0,0.0078125,0.466
512.0,0.03125,0.664
512.0,0.125,0.884
512.0,0.5,0.9280000000000002
512.0,2.0,0.93
512.0,8.0,0.932
2048.0,3.0517578125e-05,0.488
2048.0,0.0001220703125,0.53
2048.0,0.00048828125,0.51
2048.0,0.001953125,0.496
2048.0,0.0078125,0.716
2048.0,0.03125,0.934
2048.0,0.125,0.94
2048.0,0.5,0.964
2048.0,2.0,0.958
2048.0,8.0,0.948
8192.0,3.0517578125e-05,0.526
8192.0,0.0001220703125,0.532
8192.0,0.00048828125,0.47
8192.0,0.001953125,0.762
8192.0,0.0078125,0.95
8192.0,0.03125,0.966
8192.0,0.125,0.96
8192.0,0.5,0.976
8192.0,2.0,0.972
8192.0,8.0,0.954
32768.0,3.0517578125e-05,0.53
32768.0,0.0001220703125,0.544
32768.0,0.00048828125,0.796
32768.0,0.001953125,0.964
32768.0,0.0078125,0.972
32768.0,0.03125,0.97
32768.0,0.125,0.9739999999999999
32768.0,0.5,0.976
32768.0,2.0,0.972
32768.0,8.0,0.94
